# rank phase subagent_id
39 analyze ae0d36ee-b509-4d82-a8a1-eb3cd55c2454
40 analyze 53682f76-2c17-435a-9d5d-c4119f224546
37 fix 12e7c379-7e20-4d71-942f-2390c3d5b939
38 fix d716d454-1346-4620-a5d6-9e952ca4a51f
39 fix 231ae810-4c6b-4939-ba0a-859545806e5a
40 fix a564b321-a1cc-4eb5-9c1f-f4cd0fcd4163
45 analyze c71d6e69-7c01-4fb8-9795-73c42fc62544
46 analyze b1e9a035-4769-403d-9a9a-187ecf6e1a6c
47 analyze 8cfa91b3-9217-4c59-b0eb-5442e9773a87
48 analyze f9f67934-a521-4fc9-a83d-7fe0c488c20a
41 combined 7c5cb915-23f1-4596-8e43-66aeec2dbc14
42 combined 7bbae20f-1c5d-4afb-9b64-2ad07447ad95
43 combined 2176266d-e4a6-4736-9d69-fabcb8feb7dd
44 combined ddbd751c-2426-4a07-b06a-1008ae9e9507
45 fix b8099949-dbe1-4471-8931-3cab843f9845
46 fix 8ec83b49-82e1-40ff-9668-6041e5effd18
47 fix f0dad129-fea9-41cb-8de4-2b507d26d7f8
48 fix fc75c22e-8128-4042-ace8-25e579d2f45a
49 combined 18a0ca44-6a40-4fd2-8527-b028836cd514
51 combined fb30efba-d61d-415f-8d51-d58a5b4e1478
52 combined 61704c00-cfaf-4691-9d2f-6d043fae967c
53 combined b13dbee8-738b-4853-b6de-d7788a380096
54 combined 96f55035-c194-4a82-8798-db200b60bacc
55 combined fc02ae9d-4674-4ea1-b900-657e267a9b24
56 combined d003260b-4f95-4ee5-be13-15fd018b4088
57 combined f558169b-6458-44b5-aa77-819b5032a57a
58 combined d85384bd-e5f5-436c-8e7e-1947b5a85977
59 combined 5106c90f-7cd5-4fe4-a9c1-027c1d99dff8
60 combined ef271678-2727-4154-8506-47fd7c418dc1
61 combined 4e63ed23-58ef-4b54-b092-6e89eab0202d
62 combined bae7105d-3dd6-4117-ba6b-1874b6ae8c1b
63 combined 87b84466-23ba-4114-8a44-239e87552b70
64 combined 099324b7-f85b-44fc-ae86-059d11a92de0
65 combined 270770a7-d631-46a8-b114-1dfc4e0c35b5
66 combined f66ba294-7830-4b2a-98a3-413664de8684
67 combined 4dd4bf09-c20b-4ed9-99b3-7d66c0eb7986
68 combined 0d29ab33-6ea1-4add-9f7e-b55c58bab02d
69 combined 9998b24c-36ba-4f5a-9dbb-0367104adeb7
70 combined fc0d9636-f4e6-4810-9e84-a41118961f1e
72 combined b976ea12-809c-47e9-a4de-07a8a859230f
73 combined d4e4c701-5b53-45cd-bfd3-135e40270c1d
74 combined c7bca7ca-9def-413b-9d38-18a219819b71
75 combined 6e0468ee-d7f1-4f61-af0a-8f247125c2ae
76 combined c43465cd-c881-40ef-a26c-72560654a890
77 combined b7546e72-6ec4-44ae-a497-df230492c2df
78 combined ec86feb7-8f8f-4fa7-b0c9-b6971b395a7b
79 combined 81b18503-5045-413b-baad-7f4e89a47a93
80 combined 5d5849ce-264d-4685-9553-83f49c777bab
81 combined 82f129bb-8d9f-412c-8eff-36a67740853f
82 combined b17d8a83-0e07-4216-a04c-4e028c556060
83 combined 8e73f050-26b0-4ea7-919c-f377fc728851
84 combined bd8db081-115e-4775-8d76-2b82e1b9b47a
85 combined 5d02e789-82d4-4093-93f2-79e24cba2304
86 combined 0713a39a-c6e9-4e2c-8339-63b014b58b55
87 combined 1d2cd397-f7fb-4e05-b086-e6b9ab8cc20b
88 combined 99fc401d-6084-46c7-a884-588baf7c310a
89 combined a78eb28c-2179-4d27-be70-457b0f76cd07
90 combined 3a15a0e0-e501-4130-95cf-9ffc94b5fd89
91 combined cdbc1388-adbf-4086-8cda-dfb7835505be
92 combined d6be5ada-fcb3-4879-941f-0a4c0c6c1a52
93 combined e7d79072-c67b-45ad-b05b-0f8b6dcc459c
94 combined afdaeb66-95d6-499d-a29a-19a500ccc42e
95 combined 5628f65e-2e8e-47c4-9ec7-fe7506cb7410
96 combined 91be6cf1-19e4-49aa-abc1-86dd9b10f33d
97 combined 436c1bd4-8227-4de7-9e94-3d429fea8be8
98 combined 8b08e7c7-7bc8-46e9-862d-d6a75470112e
99 combined a86b7911-e125-45af-a785-e6565b00facd
100 combined 4141b6d7-ff9b-4bcf-9490-e268fcc1946d
101 combined 808030fa-6fa2-4f84-8f83-6c757ef62c09
102 combined bb321b98-07e9-4da2-a1c3-02d499fa27e4
103 combined 68cfb461-2cf6-4864-9bc9-2c5ca2d4c734
104 combined 4d6f4828-180e-4041-b6de-8609b951e9a2
105 combined 46138217-e06b-4263-aab0-1f1402ed4629
106 combined 0ce41bf1-05d7-4c02-828a-9a566aa1400b
107 combined d82c32bb-ad10-4630-918c-edab1a3a11e3
108 combined 999561a4-69f2-4862-9b06-c529227befe0
109 combined 31a68bff-06af-49c8-ade9-ca6bbaafaee6
110 combined e21ecf22-94cd-4439-a00b-e16260cbf39a
111 combined 682a08ac-32fd-48a5-8953-289679332b6d
112 combined d467c1c9-2039-4671-8fd4-e00c6117b660
113 combined 5fcba641-89e5-4a0b-adda-edb717ed57c4
114 combined 453da205-8477-4924-a489-a69a17a8700e
115 combined 23996085-da88-485b-81e2-fece8b9c99c5
116 combined 07d85dce-175e-4958-b293-979277704b36
117 combined 08a2e034-c451-4c87-9d73-5e9e56c4b9e5
118 combined 5819e990-de95-4c85-ac96-399d34321971
119 combined 185249c8-5f6e-4d89-9431-f141b8bbd7ec
120 combined 4a294155-ac07-48c9-8675-eed4f1f82519
121 combined 3a46a830-8c7e-40de-b924-f1df5b811ebc
122 combined cc44667d-1243-4bb1-b958-141662c90e95
123 combined 9983af46-b08d-417a-9e90-6636bf9b9017
124 combined 780187ad-0256-40a6-a407-0545e97ec809
125 combined 20927162-d424-4ba4-ab67-86eb84152d91
126 combined ef24d044-d3bd-4e7c-8940-b83f800512f2
127 combined 649789f7-4bd2-4b3b-b76a-e3ac4fb701e9
128 combined ccb4639a-74f4-415e-b4e4-85fdcaa94d3f
129 combined 61513db1-a1a8-4a73-aa44-2ea7d497f6f8
131 combined 2a85b960-dbad-4738-8313-5c08a236aeca
132 combined 4961c675-dda2-4563-b8e1-1b3214db24bb
133 combined 770a9413-f107-4632-a887-721a88d1f498
134 combined 6c72eac3-283c-4815-a05f-4427648759b4
135 combined 09b9548e-d453-432c-92d8-bab2a83d644e
136 combined 4f3e8968-69c2-4448-bebe-f7506d3c1f52
137 combined 6d7d3ed1-a776-4b52-9ff2-c1d4b90b2658
138 combined 77f078e4-f20e-41d7-9506-562fb2e26dbb
139 combined 25c844b6-a702-421a-b3af-0db534b110e1
140 combined 173b3b28-e303-47db-b145-3ff9dea7a16f
141 combined 34fd0a41-92e4-49f3-97c2-cec02f7d8e07
142 combined 60410efa-9152-4317-aea9-8cd3c718f24b
143 combined 5afe56b0-922e-4581-a33e-741ff9649659
144 combined b1303ad6-696f-49e4-9ceb-5cc8c38076a7
145 combined 70085823-ba4d-41e8-a389-404ab808c669
146 combined 0448f91a-0955-443c-98bc-71ab8964ceca
147 combined 48a8efac-f985-4335-a5cb-a472dabf881a
148 combined 15dc7b11-eb18-46bf-9ac4-fb067e71a914
149 combined 42ea1c93-12a9-467c-af87-acf1e880cbf2
150 combined e160ea09-6a0c-4d46-98d7-553ba3781bd1
151 combined 07ebe53d-bd06-4e30-b692-503480aff8fd
152 combined b547f878-7a2d-447b-8b1a-301fa1a4164b
153 combined 802c7575-e6ed-4104-a253-435920974325
154 combined 92a82061-4024-405d-b72f-02eef95b3b86
155 combined 7cf9d988-7d82-41ed-83f3-b55f5a13ae52
156 combined 67e186f2-06d0-4f89-8bba-2989328a0ff7
157 combined 85a5b25a-1cce-4ded-91ad-14f8d8f71917
158 combined 3ce696eb-f328-47aa-9b5d-25285fa970d6
159 combined d28b9af3-667d-4e02-becc-f64514bf8afb
160 combined cb61e394-7fa1-4d7e-9f38-dff9be71196d
161 combined 95f5e8a8-8b22-4637-a7f3-569bb6dd746d
162 combined 801ef30a-a290-4420-891a-4747fe98f2be
163 combined c19b693f-4e98-4bec-9bc3-518659428743
164 combined e681a59b-4e9d-4559-993d-9b7508823d0f
165 combined 9a9984d7-8c15-4a09-acdc-6a5ad98755a2
166 combined 21ceb0b2-6ad4-4a0a-804e-5e65d71df727
167 combined 1e6b158c-ea39-401a-b20b-0a4ca8d82a3f
168 combined 052fd319-899d-42f7-9991-8e81b5ebe4d1
169 combined 7543ef23-dd59-44eb-a960-84bda2dc860f
170 combined 705d0a8d-9201-4a11-b298-701dbc82fc59
171 combined 81370ab6-3c76-40ca-b8ef-91c5b6e58539
172 combined 588d38d1-32d0-41d4-9960-39120679eb0c
173 combined 734913ec-e7c6-45a0-8d82-08c9cfda41b9
174 combined 9c6bd120-de18-48ac-b954-c98e97ac0af3
175 combined 35c7f7d1-ecd9-4da0-a0fd-4f0818c8a029
176 combined ea04f141-b89a-45f7-8772-50a9737fa995
177 combined 6bd97241-fd12-47de-97da-78947e84fc1b
178 combined 7e3a4ee6-76c8-4e33-b006-c01cff1b1dab
179 combined 46d7ca77-2e2e-44cb-959a-ca8b441d48f4
180 combined 9eaba76a-85e3-4fd1-a786-e024a765e065
181 combined 12ae08b1-bf20-49a4-8bc5-cddc538e1457
182 combined 60f790e0-74c8-4381-8f70-9971eb3d0a5c
183 combined 173bea33-6d8c-47c3-8d33-15d4dbfc805c
184 combined 929fa810-3e75-4eaa-ab5f-410adfa094a4
185 combined 3e7c3f4c-fd06-4b8b-8192-e9512ed50a5b
186 combined 91a554ae-8695-4abb-9a2f-bcd2936a280a
187 combined 106144c3-6b88-4d5a-9bd3-f88b430b37e9
188 combined 9657dba6-d85d-4b45-b4a4-ec749ccdda8a
189 combined e0ca39a8-77a5-4548-be4e-cef4b0df65e0
190 combined 359d4536-b4c2-4208-8ebb-6680dd93c356
191 combined 24939cc5-d9f5-4c83-806d-1062e2c9d9b7
192 combined e2ec9f9d-d0f9-45d4-bcbd-0e7f3ca828e2
193 combined 1f331b0e-5629-43ec-82cc-c7a49d918d12
194 combined 0d066d64-10cd-47f3-b02a-b987e94c086b
195 combined d77efa03-f69c-45f7-9113-b063c4949688
196 combined 06195788-6910-4685-a527-981e830787e8
197 combined fa291637-c4f4-44e8-8ebc-cd05acf3693c
198 combined b85c5b3e-0413-4ac2-85e9-9a7f3127a07a
199 combined e174fb65-387b-4bc0-a0b5-aeeca1c7a564
200 combined afaef0c3-a0d3-4a00-8945-b7628f9b3304
201 combined df5b0944-b227-4e82-9774-fffc4de17e6d
202 combined 41856d71-2c22-473e-8fdf-249a231a4224
203 combined b16f00b7-4b0a-4839-8ab3-7d6281f7b68b
204 combined b379f3db-bbe8-4485-85ae-0f55d8dfe77f
205 combined 5da50dbb-8f26-40b1-bf35-e03c9b0b11f4
206 combined 36e79758-1d49-4651-a24f-e9e15bd4867d
207 combined 6fcf01c0-10e4-45c1-9806-691fb1bf0ee0
208 combined baa74b69-df7d-4e1a-8c88-2e053575c687
209 combined 3be7e59a-3a0c-4b1d-b484-ba5dbbd24219
210 combined 40a5fa2c-9b12-44c7-acbe-c52f0c322638
205 combined-redo a93f36f3-d1ed-4eed-b785-3bf49367d362
211 combined d333bcb9-9258-4418-9913-a9e53566304b
212 combined 5ba856de-2390-499e-aa36-c60a4c23bfef
213 combined 8a859f55-bd73-446c-bcc0-f0917c0b8bf5
214 combined a741663f-5e52-4f6d-b5f5-51adb6780cb2
215 combined b6c7e292-3c09-40dd-9670-4a3cc9ebe469
216 combined 3d42c951-2b25-4f38-a033-fab51143dd79
217 combined 7463634f-2521-421b-a16e-851c5ce4f333
218 combined 9725dd7e-a68d-4b5a-8703-04bf1818020d
219 combined a49d88ee-8a43-4b8e-a4e7-3d015e1012d0
220 combined 974ed04f-d755-4af7-801c-8099735b607a
221 combined 2612d362-5e8f-4541-a731-49d4a1921b72
222 combined 8b4f8fd0-45b3-48c8-9b2d-8195bb5ca1e1
223 combined ed4c6962-efe4-405c-b615-9e71332e4e54
224 combined 021b7961-18eb-4abe-853f-0b279b2f4168
225 combined 6d6fbc8c-f00b-44c4-8fe9-73ab22d91109
226 combined 1dd3c21f-e7c7-47c2-9ffd-5476fa152235
227 combined 780c8942-05b6-4195-bdbf-7ccf8c80b084
228 combined 17bfa56c-6328-498a-894d-07e39ebda740
229 combined a2ea6a6a-7934-4133-84b4-8bf140032484
230 combined bda33cb1-b8d1-4e73-bbd3-a9afd46b038c
231 combined 0d0029c2-d455-442b-bb12-5931fdf80b43
232 combined b1160458-0040-4fba-8807-47ad577cb2ec
233 combined 8a6a885d-8e4b-4113-9f5d-d3a9639c2e79
234 combined b6a152d4-b77c-4679-8e68-3fe3ac68cfcf
235 combined a7f5bf14-a5cd-4239-bcad-3e8f35be1fdc
236 combined 1321f963-01d3-46c9-abe8-d9f677238bda
237 combined ee3556fb-6c62-4f82-b7db-e7ec3f523135
238 combined cc8ce83b-e25e-417f-b8ab-8f72c86b8d79
239 combined 51b98c74-2fe8-4fef-94f6-ba05313499d5
240 combined 195c6abc-fca3-4496-a1ee-0e86ffe2ea39
241 combined 5826dcb3-c8bf-4c1b-a468-0e9a54c93e45
242 combined 96e75db5-8ebd-4b3d-989b-f9f51ae4ea80
243 combined 5435fc03-2100-4666-82e1-3a586beafadc
244 combined 946727e0-9b56-45fb-adc2-3a950b14cf42
245 combined 4563ef76-955c-41a2-bb47-871356310771
246 combined 5fd816a0-4f39-458f-80e6-f36861a05622
247 combined 2e6250fd-03fd-41d3-9ae9-ce840da0c82a
248 combined 04ec5637-99e4-4dc5-a045-131910d7d5d1
249 combined bdbf5894-1270-45bf-bab2-7af3004264af
250 combined 9806a951-49ff-4e58-b029-2f674a0dd51e
251 combined bd8d6ba1-29a8-4435-af64-7e0203dfdd47
252 combined 2b4a8727-23cc-427f-a745-862fd72cc9ab
253 combined 1408a3f3-8a4d-43c0-aeae-e2e3648387b2
254 combined 2c440059-3813-4b57-9555-df48a87209fd
255 combined 6302a6dc-b5c9-448c-9a67-dfc64a0cd342
256 combined 59895921-02fa-4846-9323-3b6422b4dd00
257 combined 15814575-b870-49b6-a687-8a274b4236d3
258 combined 43542a67-d816-4849-b2df-0512655da8c6
259 combined b14dc9f3-63f8-44e7-ba9d-5cb99d2311d1
260 combined 264cd82a-41de-4dc9-a211-1904542c28ad
